Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Kylo Ren's Mask (A)	TFA	TFA091_Kylo_Ren_s_Mask_A	D	Equipment	Character - Armor Defense	2.0				U	91.0		"Pay 3 Force -> Equip | Equipped Jedi or Sith gets +2 health and ""Pay 1 Force -> Retaliate 2."" | Equipped Kylo Ren also gets ""Discard Kylo Ren's Mask -> Untap Kylo."""		RES	
Kylo's Shuttle (B)	TFA	TFA092_Kylo_s_Shuttle_B	D	Space	First Order Transport	4.0	40.0	3	3.0	U	92.0		Shields 2 | Whenever Kylo Ren would be discarded, you may discard Kylo's Shuttle from the Space arena. If you do, retreat Kylo Ren and remove all but 1 damage counter from him instead.		RES	
Lieutenant Bastian (A)	TFA	TFA093_Lieutenant_Bastian_A	L	Character	Resistance Officer	6.0	40.0	4	4.0	U	93.0		Starfighter and Squadron Pilot.  The Starfighter or Squadron gets:  - +1 power  - Pay 1 Force -> Retaliate 3.		RES	
Luke Skywalker (X)	TFA	TFA094_Luke_Skywalker_X	L	Character	Jedi Master	4.0	30.0	3	4.0	U	94.0		Reserves: Tap -> Gain 2 Force. | You may remove this card from your hand from the game. If you do, search your deck for a General Leia Organa Solo unit card, show it to your opponent, and put it into your build zone with 2 build counters on it. Shuffle your deck.	<s><l>Tap to gain 2 Force</l><f>/cr90;/player stat1 +2;/s taps Luke Skywalker (X) to gain 2 Force</f></s>	RES	
Major Caluan Ematt (A)	TFA	TFA095_Major_Caluan_Ematt_A	L	Character	Resistance Officer	6.0	30.0	4	4.0	U	95.0		When you deploy Caluan, you may search your deck for a Location card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | Tap -> Choose one of your Resistance units in the Ground or Character arena. The chosen unit gets Accuracy 1 until end of turn. Play only when no unit is attacking.		RES	
Maz Kanata's Castle	TFA	TFA096_Maz_Kanata_s_Castle	N	Location	Character - Pirate Facility 	2.0				U	96.0		When your build step starts, you may search your deck for a Crime Gang, Crim Lord, Pirate, or Smuggler unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
Megablaster	TFA	TFA097_Megablaster	D	Equipment	Ground/Character - Blaster Weapon	3.0				U	97.0		Pay 1 build point -> Equip | Equipped unit can only have one Megablaster attached to it. | Equipped non-Creature unit gets +3 power and loses Stealth. | Equipped First Order Stormtrooper also gets Critical Hit 2 when attacking a multi-arena unit.		RES	
Millennium Falcon (T)	TFA	TFA098_Millennium_Falcon_T	L	Space	Resistance Smuggler Transport - Scavenger	5.0	60.0	4	4.0	U	98.0		"The Millennium Falcon can have an extra Pilot. | INSERT: As long as the Millennium Falcon is piloted by a Scavenger, it gets Lucky 2 and ""When your build step starts, you may search your deck for a Smuggler or Wookiee Character unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck."""		RES	
Not How the Force Works	TFA	TFA099_Not_How_the_Force_Works	N	Mission		1.0				U	99.0		Choose 2 of your non-Force Sensitive, non-Jedi, non-Sith units in the Character arena. When the turn ends, if both units are still in the Character arena, draw 2 cards and gain 2 Force.		RES	
Poe Dameron's EL-16HFE Blaster Rifle (A)	TFA	TFA100_Poe_Dameron_s_EL_16HFE_Blaster_Rifle_A	L	Equipment	Character - Blaster Weapon	2.0				U	100.0		"Pay 1 built point -> Equip | Equipped Character gets Critical Hit 1. | Equipped Poe Dameron also gets ""Tap -> Put 3 damage counters on one of your opponent's Stormtroopers in the Ground or Character arena. Play only when Poe would attack."""		RES	
Poe's Special Forces TIE Fighter (A)	TFA	TFA101_Poe_s_Special_Forces_TIE_Fighter_A	L	Space	Resistance Starfighter	5.0	60.0	3	3.0	U	101.0		Poe's Special Forces TIE Fighter can have up to 2 Pilots. | Accuracy 1 | Precision		RES	
PZ-4CO (A)	TFA	TFA102_PZ_4CO_A	L	Character	Resistance Protocol Droid	4.0	20.0	1	4.0	U	102.0		Tap -> Search your deck for a Mission card, show it to your opponent, and put it into your hand. Shuffle your deck.		RES	
Red Six (A)	TFA	TFA103_Red_Six_A	L	Space	Resistance Starfighter	5.0	60.0	3	3.0	U	103.0		Alternative Cost: Tap Red Squadron, discard a card from your hand, pay 2 Force. | Double Damage | Damage Control 1		RES	
Resistance Fighter's Resolve	TFA	TFA104_Resistance_Fighter_s_Resolve	L	Equipment	Ground/Character - Skill	2.0				U	104.0		Pay 2 build points -> Equip | Equipped Resistance unit gets Damage Control 2.		RES	
Resistance Platoon	TFA	TFA105_Resistance_Platoon	L	Ground	Resistance Squad	6.0	40.0	4	5.0	U	105.0		Double Damage | As long as you have a Resistance Officer in any arena, this unit gets Accuracy 1.		RES	
Rey (C)	TFA	TFA106_Rey_C	L	Character	Force Sensitive Scavenger	5.0	40.0	4	4.0	U	106.0		Transport Pilot. The Transport gets:  -+10 speed  -Lucky 1  -Parry 2  -This unit can have up to 2 Pilots.		RES	
Rey's Quarterstaff (A)	TFA	TFA107_Rey_s_Quarterstaff_A	N	Equipment	Character - Melee Weapon	2.0				U	107.0		"Pay 2 Force -> Equip | Equipped Scavenger gets +2 power. | Equipped Rey also gets +10 speed and ""As long as your opponent has a Neutral unit in the Character arena, Rey gets Double Strike."""		RES	
Running to Safety	TFA	TFA108_Running_to_Safety	L	Battle						U	108.0		Retreat one of your defending Characters and put 1 damage counter on it -> Prevent up to 5 damage to that Character. You may also search your deck for a Space unit card. If you do, show it to your opponent, and put it into your hand. Shuffle your deck.		RES	
Scavenger Squad	TFA	TFA109_Scavenger_Band	N	Ground	Scavenger Squad	6.0	40.0	5	5.0	U	109.0		Tap -> Choose one: Take a card from your opponent's discard pile and put it face-down beneath this unit. Play only during your build step. Or:  Remove all face-down cards beneath this unit from the game. Gain 1 build point for each card removed this way. Play only during your build step.		RES	
Secret Plans	TFA	TFA110_Secret_Plans	D	Mission		2.0				U	110.0		Remove all build counters from each partially built card in your build zone. Gain any combination of build points and Force equal to the total number of build counters removed this way,		RES	
Snoke's Wisdom	TFA	TFA111_Snoke_s_Wisdom	D	Battle						U	111.0		"Pay 3 Force -> Choose one of your Dark Side units. The chosen unit gets +20 speed, +2 power, and ""Foresight: Gain 2 Force."" until end of turn. | Pay 4 Force -> Meditate."		RES	
Starfighter Sunset	TFA	TFA112_Starfighter_Sunset	N	Battle						U	112.0		Pay 5 Force -> Each Starfighter (yours and your opponent's) gets Double Damage and Precision until end of turn. Play only before any unit in the Space arena attacks.		RES	
Starkiller Base Army (B)	TFA	TFA113_Starkiller_Base_Army_B	D	Ground	First Order Stormtrooper Army	8.0	40.0	7	8.0	U	113.0		Alternative Cost: Tap Starkiller Base, discard the top 4 cards of your deck. | Accuracy 1 | Overkill		RES	
Starkiller Base Plans	TFA	TFA114_Starkiller_Base_Plans	L	Battle						U	114.0		Pay 6 Force -> Choose one of your opponent's units in the Ground arena. This turn, each of your Ground units gets Fury 4 when attacking the chosen unit.		RES	
Stormtrooper Training	TFA	TFA115_Stormtrooper_Training	D	Equipment	Ground/Character - Skill	2.0				U	115.0		"Pay 1 build point -> Equip | Equipped First Order Stormtrooper gets Precision and ""Pay 1 Force -> Retaliate X, where X is the number of First Order units in the Ground and Character arena."""		RES	
Takodana	TFA	TFA116_Takodana	N	Location	Ground - Takodana Forest Landscape	1.0				U	116.0		"When your build step starts, you may choose one of your Crime Lords, Pirate, or Smuggler Characters. If you do, the chosen Character gets Stealth and ""This unit's speed is 40, and this unit can't gain or lose speed."" until end of turn. "		RES	
Testing Her Abilities 	TFA	TFA117_Testing_Her_Abilities	L	Mission		2.0				U	117.0		"Choose one of your Force Sensitive Characters and roll a die. Until end of game, the chosen Character gets: 1 or 2) Parry 1; 3 or 4) ""Foresight: Gain 2 Force.""; 5) ""Pay 1 Force -> Deflect 1""; 6) ""Pay 2 Force -> Evade 3."""		RES	
Torn Apart	TFA	TFA118_Torn_Apart	N	Battle						U	118.0		Pay 4 Force -> Choose one of your opponent's Dark Side units. The chosen unit gets -20 speed, -2 power, and Accuracy -1 until end of turn. | Pay 4 Force -> Meditate.		RES	
Underslung Blaster Cannon	TFA	TFA119_Underslung_Blaster_Cannon	L	Equipment	Space - Weapon Modification	2.0				U	119.0		"Move a Pilot from one of your Starfighters to the Character arena tapped -> Equip | Equipped Starfighter gets ""As long as this unit is in the Space arena, ti can attack your opponent's units in the Ground arena."" and ""As long as this unit is in the Ground arena, it can attack your opponent's units in the Character arena."""		RES	
Unkar Plutt (A)	TFA	TFA120_Unkar_Plutt_A	N	Character	Crolute Merchant	5.0	30.0	4	4.0	U	120.0		Remove a card from your discard pile from the game or discard the top card of your deck -> Roll a die. If you roll a 5 or 6, choose one: Draw 2 cards. Or:  Gain 3 build points. Play only during your build step.		RES	
Anti-Air Cover	TFA	TFA121_Anti_Air_Cover	D	Battle						C	121.0		Discard a card from your hand -> Choose one: Your opponent's units lose Bombard until end of turn. Or: Each of your First Order Stormtroopers in the Ground arena gets Shields 1 until end of turn.		RES	
Athgar Heece (A)	TFA	TFA122_Athgar_Heece_A	N	Character	Dybrinthe Bounty Hunter	4.0	30.0	4	4.0	C	122.0		Bounty: Draw a card. 		RES	
B-U4D (A)	TFA	TFA123_B_U4D_A	L	Character	Resistance Maintenance Droid	4.0	40.0	0	4.0	C	123.0		When you deploy B-U4D, you may remove 1 damage counter from one of your Starfighters. | Tap -> Remove 1 damage counter from one of your Starfighters. Play only during your build step.		RES	
Bazine Netal (A)	TFA	TFA124_Bazine_Netal_A	D	Character	First Order Spy	3.0	40.0	3	3.0	C	124.0		Stealth | Tap -> Look at your opponent's hand. If your opponent has any Character unit cards there, you may discard one of them. Play during your build step.		RES	
Call in the Air Strike	TFA	TFA125_Call_in_the_Air_Strike	D	Battle						C	125.0		Tap one of your First Order Stormtroopers in the Character arena -> Choose one of your First Order Starfighters in the Space arena. The chosen Starfighter can attack your opponent's units in the Ground or Character arena until end of turn. Play only when no unit is attacking.		RES	
Colonel Datoo (A)	TFA	TFA126_Colonel_Datoo_A	D	Character	First Order Officer	5.0	40.0	3	3.0	C	126.0		Tap, Pay X build points -> Take 1 Subordinate with the First Order subtype and power X and put it into its arena.		RES	
Colonel Kaplan (A)	TFA	TFA127_Colonel_Kaplan_A	D	Character	First Order Officer	6.0	40.0	4	5.0	C	127.0		Tap -> Choose one of your First Order Ground units. The chose unit gets +2 power and Precision when attacking a multi-arena unit until end of turn.		RES	
Commander Korr Sella (A)	TFA	TFA128_Commander_Korr_Sella_A	L	Character	Resistance Officer - Diplomat	4.0	40.0	4	4.0	C	128.0		Pay 1 build point -> Choose one of your New Republic Space or Ground units. The chosen unit gets the Resistance subtype until end of game. Play only during your build step.		RES	
D'Qar System	TFA	TFA129_D_Qar_System	L	Location	Space - Star System	2.0				C	129.0		When your build step starts, you may search your deck for a Resistance unit card. If you do, show it to your opponent  and put it into your hand. Shuffle your deck.		RES	
Domesticated Happabore	TFA	TFA130_Domesticated_Happabore	N	Ground	Jakku Creature	4.0	10.0	3	5.0	C	130.0		"As long as you have a Scavenger in any arena, this unit gets ""Tap -> Choose one: Draw a card. Or:  Gain 1 build point."""		RES	
First Order Holding Cell	TFA	TFA131_First_Order_Holding_Cell	D	Location	Character - First Order Prison	3.0				C	131.0		When your build step starts, choose one:  Put 1 captivity counter on one of your opponent's Characters. Or:  Tap one of your opponent's Characters with 2 or more captivity counters on it.		RES	
FN-417 (A)	TFA	TFA132_FN_417_A	D	Character	First Order Stormtrooper	4.0	40.0	3	4.0	C	132.0		Precision | When FN-417 is discarded from the Character arena, you may draw a card.		RES	
FN-2003 (A)	TFA	TFA133_FN_2003_A	D	Character	First Order Stormtrooper	3.0	30.0	3	3.0	C	133.0		When FN-2003 is discarded from the Character arena, you may draw a card.		RES	
Food Portion	TFA	TFA134_Food_Portion	N	Resource		3.0				C	134.0		Add 1 counter -> Remove a card from any discard pile from the game. Play only if you have a Scavenger in any arena and only if there are cards in any discard pile. | Remove 3 counters -> Remove 1 damage counter from each of your Scavengers in the Ground and Character arena.		RES	
GA-97 (A)	TFA	TFA135_GA_97_A	L	Character	Resistance Spy Droid	4.0	40.0	1	4.0	C	135.0		When you deploy GA-97, you may search your deck for a Droid Character unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
Garrison Guard	TFA	TFA136_Garrison_Guard	D	Character	First Order Stormtrooper	4.0	30.0	3	3.0	C	136.0		Tap -> Put 1 captivity counter on one of your opponent's Characters. Play only if that Character has 1 or more captivity counters on it.		RES	
Goss Toowers (A)	TFA	TFA137_Goss_Toowers_A	L	Character	Shozer Resistance Officer	4.0	20.0	3	3.0	C	137.0		Reserves: Tap -> Remove 1 damage counter from one of your Resistance Space units. Play only during your build step.		RES	
Graveyard of Giants	TFA	TFA138_Graveyard_of_Giants	N	Location	Ground/Character - Jakku Desert Landscape	2.0				C	138.0		"Each of your Scavengers in this arena gets +1 health and ""Bounty: Gain 1 build point."""		RES	
Han Solo's DL-44 Blaster (C)	TFA	TFA139_Han_Solo_s_DL_44_Blaster_C	L	Equipment	Character - Blaster Weapon	1.0				C	139.0		Discard a card from your hand -> Equip | Equipped Character gets +1 power. | Equipped Han Solo also gets Accuracy 1 and Critical Hit 1.		RES	
Jakku System	TFA	TFA140_Jakku_System	N	Location	Space - Star System	2.0				C	140.0		When your build step starts, if you have a Scavenger in any arena, draw a card.		RES	
Just Stay Sharp	TFA	TFA141_Just_Stay_Sharp	L	Battle						C	141.0		Discard 2 cards from your hand -> Each of your units with a Pilot on it gets Accuracy 1 until end of turn.		RES	
Kaydel Ko Connix (A)	TFA	TFA142_Kaydel_Ko_Connix_A	L	Character	Resistance Officer	4.0	40.0	2	4.0	C	142.0		Reserves: Tap -> Search your deck for a Resistance Space unit card, show it to your opponent, and put it into your hand. Shuffle your deck.		RES	
Kylo Ren (D)	TFA	TFA143_Kylo_Ren_D	D	Character	First Order Dark Jedi Apprentice	7.0	50.0	7	5.0	C	143.0		Pay 1 Force -> Search your opponent's deck for a Mission card and remove it from the game. Your opponent shuffles his or her deck. Play only if your opponent has no Jedi in the Character arena and only when no unit is attacking. | Pay 3 Force -> Evade 2		RES	
Kylo's Test	TFA	TFA144_Kylo_s_Test	D	Battle						C	144.0		"Choose one: Tap Kylo Ren -> Draw 2 cards. | Or: Pay 2 Force -> Kylo Ren gets Accuracy 2 when attacking a unit with ""Solo"" in its name until end of turn."		RES	
Leia's Transport (B)	TFA	TFA145_Leia_s_Transport_B	L	Space	Resistance Transport	5.0	40.0	2	5.0	C	145.0		Shields 2 | Tap -> Remove a captivity counter from one of your units in the Character arena. Play only during your build step.		RES	
Lieutenant Dopheld Mitaka (A)	TFA	TFA146_Lieutenant_Dopheld_Mitaka_A	D	Character	First Order Officer	4.0	30.0	3	4.0	C	146.0		When you deploy Dopheld, roll a die. If you roll a 1, 2, 3, or 4, put 2 damage counters on Dopheld. If you roll a 5 or 6, tap one of your opponent's non-Jedi Characters.		RES	
Lor San Tekka (A)	TFA	TFA147_Lor_San_Tekka_A	L	Character	Tuanul Explorer	3.0	10.0	2	3.0	C	147.0		When you deploy Lor, you may search your deck for a Starchart Memory Drive Equipment card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | Tap -> Draw a card.		RES	
Luggabeast	TFA	TFA148_Luggabeast	N	Ground	Jakku Creature	4.0	20.0	2	5.0	C	148.0		Armor | Tap -> Choose one: Take a Droid unit card from your opponent's discard pile and put it face-down beneath this unit. Or:  Remove all face-down cards beneath this unit from the game. Gain 1 build point for each card removed this way. Play only if you have a Scavenger in any arena.		RES	
Maz's Patrons	TFA	TFA149_Maz_s_Patrons	N	Ground	Crime Gang Pirate Squad	5.0	40.0	*	5.0	C	149.0		This unit's power is equal to the number of Crime Lords and Pirates you have in the Character arena. As long as Maz Kanata is in any arena, this unit gets Stealth.		RES	
Medic Evacuation Unit	TFA	TFA150_Medic_Evacuation_Unit	L	Ground	Resistance Squad	5.0	50.0	2	5.0	C	150.0		Reserves: Tap -> Remove 1 damage counter from one of your Resistance units in the Ground or Character arena. Play only when no unit is attacking.		RES	
Niima Outpost	TFA	TFA151_Niima_Outpost	N	Location	Ground - Jakku Desert Settlement	2.0				C	151.0		When your build step starts, you may remove a card from your discard pile from the game. If you do, gain 1 build point. | Each Scavenger costs 1 less build counter to deploy.		RES	
NN-14 Blaster Pistol	TFA	TFA152_NN_14_Blaster_Pistol	N	Equipment	Character - Blaster Weapon	1.0				C	152.0		"Pay 1 build point -> Equip | Equipped Character gets +1 power. | Equipped Scavenger or Smuggler also gets Lucky 1 and ""Pay 0 Force -> Retaliate 1."""		RES	
Petty Officer Thanisson (A)	TFA	TFA153_Petty_Officer_Thanisson_A	D	Character	First Order Officer	5.0	30.0	3	4.0	C	153.0		Whenever your opponent would retreat a unit from the Space arena,  he or she must discard a card from his or her hand.		RES	
Poe Dameron (C)	TFA	TFA154_Poe_Dameron_C	L	Character	Resistance Officer	6.0	40.0	5	5.0	C	154.0		Accuracy 1 | When you deploy Poe, you may search your deck for a Poe's Starfighter unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
Quadjumper	TFA	TFA155_Quadjumper	N	Ground	Scavenger Transport	4.0	40.0	1	5.0	C	155.0		"As long as this unit has no damage counters on it, it gets ""Retreat this unit -> Prevent 1 damage to one of your Characters"""		RES	
Quiggold (A)	TFA	TFA156_Quiggold_A	N	Character	Gabdorin Pirate	4.0	30.0	4	4.0	C	156.0		When you deploy Quiggold, you may search your deck for a Transport unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
R2-D2 (Q)	TFA	TFA157_R2_D2_Q	L	Character	Resistance Astromech Droid	4.0	20.0	1	3.0	C	157.0		Reserves: Tap -> Choose one: Gain 1 Force. Or:  Reveal a Luke Skywalker unit card from your hand to your opponent and put it into your build zone with 1 build counter on it. Play only during your build step.		RES	
Rathtar	TFA	TFA158_Rathtar	N	Ground	Creature	6.0	50.0	6	5.0	C	158.0		This unit gets Fury 2 when attacking a non-Creature. | As long as you have another Creature in the Ground arena, this unit gets Critical Hit 2.		RES	
Reconnaissance Squad	TFA	TFA159_Reconnaissance_Squad	D	Ground	First Order Stormtrooper Squad	6.0	50.0	5	4.0	C	159.0		Accuracy 1 | This unit can attack your opponent's units with Stealth.		RES	
Resistance Fighters	TFA	TFA160_Resistance_Fighters	L	Ground	Resistance Squad	5.0	40.0	4	4.0	C	160.0		Stealth		RES	
Rey (D)	TFA	TFA161_Rey_D	L	Character	Force Sensitive Scavenger	5.0	40.0	3	5.0	C	161.0		Each of your opponent's Apprentices and Force Sensitives in the Character arena can't use activated abilities. | Your opponent can't look at your hand.		RES	
Rey's AT-AT Home	TFA	TFA162_Rey_s_AT_AT_Home	L	Location	Ground - Jakku Desert Home	1.0				C	162.0		"When your build step starts, you may search your deck for a card with ""Rey"" in its name. If you do, show it to your opponent and put it into your hand. Shuffle your deck. | Rey gets Damage Control 1."		RES	
Rey's First Steps	TFA	TFA163_Rey_s_First_Steps	L	Mission		3.0				C	163.0		Search your deck and/or discard pile for up to 3 Rey unit cards, show them to your opponent, and put them into your hand. Shuffle your deck.		RES	
Riot Control Unit	TFA	TFA164_Riot_Control_Unit	D	Ground	First Order Stormtrooper Squad	5.0	40.0	4	4.0	C	164.0		Tap -> Tap one of your opponent's units in the Ground arena with one or more captivity counters on it.		RES	
Roodown (A)	TFA	TFA165_Roodown_A	N	Character	Abednedo Scavenger	3.0	30.0	2	3.0	C	165.0		Remove Roodown from the Character arena from the game -> Draw 2 cards.		RES	
Sarco Plank (A)	TFA	TFA166_Sarco_Plank_A	N	Character	Melitto Scavenger - Bounty Hunter	6.0	30.0	5	5.0	C	166.0		When your build step starts, you may take an Equipment card from your discard pile and put it into your deck. If you do, shuffle your deck.		RES	
Snowtrooper Platoon	TFA	TFA167_Snowtrooper_Platoon	D	Ground	First Order Stormtrooper Arctic Squad	5.0	50.0	1	1.0	C	167.0		Critical Hit 1 | This unit gets +1 power and +1 health for each Arctic unit you have in any arena.		RES	
Special Forces TIE Fighter	TFA	TFA168_Special_Forces_TIE_Fighter	D	Space	First Order Starfighter	5.0	60.0	3	3.0	C	168.0		This unit can have up to 2 Pilots. | Alternative Cost: Tap one of your First Order Capital Ships in the Space arena, discard 2 cards from your hand. | Accuracy 1 | Precision		RES	
Starkiller Base Control Crew	TFA	TFA169_Starkiller_Base_Control_Crew	D	Character	First Order Soldier	4.0	30.0	3	3.0	C	169.0		Tap -> Gain 1 Force. Play only if you have Starkiller Base in any arena.	<s><l>Tap to gain 1 Force</l><f>/cr90;/player stat1 +1;/s taps Starkiller Base Control Crew to gain 1 Force because Starkiller Base is in any arena</f></s>	RES	
Starkiller Base Hangar 718	TFA	TFA170_Starkiller_Base_Hangar_718	D	Location	Ground - First Order Facility	1.0				C	170.0		When your build step starts, you may search your deck for a First Order Space unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
Starkiller Base Technician	TFA	TFA171_Starkiller_Base_Technician	D	Character	First Order Soldier	3.0	20.0	3	3.0	C	171.0		Each of Starkiller Base's activated abilities costs 1 less Force to play. (Abilities that cost 1 or more Force can't cost less than 1 Force.)		RES	
T-70 X-Wing Scout	TFA	TFA172_T_70_X_wing_Scout	L	Space	Resistance Starfighter	3.0	50.0	2	3.0	C	172.0		"You can stack this card beneath one of your unique Resistance Squadrons. You can only have one copy of this card in that stack. This card can't be on top of that stack. Treat this card as part of that unit's stack. | As long as you have another Resistance unit in the Space arena, this unit gets ""Pay 0 Force -> Intercept."""		RES	
Teedo (A)	TFA	TFA173_Teedo_A	N	Character	Teedo Scavenger	5.0	20.0	3	3.0	C	173.0		Remove a Droid unit card or an Equipment card from any discard pile from the game -> Your opponent rolls a die. If he or she rolls a 1, 2 or 3, gain 1 build point and draw a card. Play only during your build step.		RES	
Thermal Oscillator	TFA	TFA174_Thermal_Oscillator	D	Location	Ground - First Order Facility	2.0				C	174.0		Treat this Location as if it has 4 health and when this Location has no remaining health, discard this Location. This Location can't be replaced. | During the Ground battle step, units can attack this Location as if it were a unit. | When your build step starts, choose one: Put 1 credit counter on Thermal Oscillator. Or: Remove X credit counters from Thermal Oscillator. Gain X Force.		RES	
TIE Fighter Captain	TFA	TFA175_TIE_Fighter_Captain	D	Character	First Order Officer3	3.0	20.0	3	3.0	C	175.0		Starfighter Pilot. The Starfighter gets:  - +10 speed  - Accuracy 1  - If this unit does no damage this turn (after damage prevention), put 1 damage counter on it.		RES	
TIE Space Superiority Fighter	TFA	TFA176_TIE_Space_Superiority_Fighter	D	Space/Ground	First Order Starfighter	3.0	60.0	2	2.0	C	176.0		Switch: Bombard 2/+1 power | This unit can have up to 2 Pilots. | Pay 0 Force -> Intercept		RES	
Ventral Cannons	TFA	TFA177_Ventral_Cannons	N	Equipment	Space - Weapon Modification	1.0				C	177.0		"Pay 2 build points -> Equip | Equipped Capital Ship or Fleet gets Critical Hit 2 and ""Discard another Equipment attached to this unit -> This unit gets Accuracy 1 and Precision for this attack."""		RES	
Who Talks First	TFA	TFA178_Who_Talks_First	N	Battle						C	178.0		Pay 4 Force -> Choose one: Each of your units in the Character arena gets +30 speed until end of turn. Or: Each of your opponent's units in the Ground arena gets -30 speed until end of turn.		RES	
Wounded	TFA	TFA179_Wounded	D	Mission		2.0				C	179.0		Each of your Characters gets +2 power when attacking a damaged Character until end of turn.		RES	
Z6 Riot Control Baton	TFA	TFA180_Z6_Riot_Control_Baton_v2	D	Equipment	Ground/Character - Melee Weapon	2.0				C	180.0		Pay 1 build point -> Equip | Equipped First Order Stormtrooper gets Stun 2. | Equipped FN-2199 also gets +2 power.		RES	
Assault Trooper Squad	TFA	TFAsub_Assault_Trooper_Squad	D	Subordinate	Ground - First Order Stormtrooper Squad		50.0	4	2.0	S			Accuracy 1		RES	
Elite Trooper Squad	TFA	TFAsub_Elite_Trooper_Squad	D	Subordinate	Ground - First Order Stormtrooper Squad		50.0	4	3.0	S			Accuracy 1		RES	
Guavian Death Gang Enforcers	TFA	TFAsub_Guavian_Death_Gang_Enforcers	N	Subordinate	Ground/Character - Crime Gang Squad		50.0	3	3.0	S			Bala-Tik can't be attacked.		RES	
T-70 X-Wing Starfighter	TFA	TFAsub_T_70_X_wing_Starfighter	L	Subordinate	Space/Ground - Resistance Starfighter		50.0	2	3.0	S			Switch: +1 power/Accuracy 1		RES	
TIE Pursuit Team	TFA	TFAsub_TIE_Pursuit_Team	D	Subordinate	Space - First Order Squadron		60.0	3	3.0	S			Pay 1 Force -> Intercept		RES	
BB-8 (A) (LEGO)	TFA	LEGO006_BB_8_A	L	Character	Resistance Astromech Droid	4.0	30.0	0	3.0	L			Alternative Cost: Tap Poe Dameron or Rey. | As long as you have Poe Dameron or Rey in the Character arena, BB-8 can't be attacked. | Your opponent can't look at your hand, your deck, or partially built cards in your build zone.		RES	
Finn (A) (LEGO)	TFA	LEGO023_Finn_A	L	Character	Resistance Soldier	6.0	50.0	5	5.0	L			You may attach a Lightsaber Weapon to Finn without paying its equip cost. Finn gets the abilities granted by the Lightsaber Weapon, as if he were a Jedi. Finn can only have one Lightsaber Weapon attached to him.		RES	
FN-2199 (A) (LEGO)	TFA	LEGO024_FN_2199_A	D	Character	First Order Stormtrooper	6.0	50.0	5	4.0	L			Critical Hit 2 | FN-2199 gets Accuracy 1 and Fury 2 when attacking a Resistance unit. | As long as you have Kylo Ren in any arena, FN-2199 gets Parry 1.		RES	
General Armitage Hux (A) (LEGO)	TFA	LEGO026_General_Armitage_Hux_A	D	Character	First Order Officer	7.0	40.0	4	5.0	L			"Each of your First Order Stormtroopers costs 1 less build counter to deploy. | Tap, Pay 2 build points -> Take 1 50/4/3 Elite Trooper Squad Subordinate with ""Accuracy 1"" and put it into the Ground arena."	<s><l>Tap and pay 2BP to spawn Elite Trooper Squad</l><f>/spawn Elite Trooper Squad;/cr90;/player stat2 -2;/s taps General Armitage Hux and pays 2BP to spawn an Elite Trooper Squad subordinate</f></s>	RES	
Graveyard of Giants (LEGO)	TFA	LEGO029_Graveyard_of_Giants	N	Location	Ground/Character - Jakku Desert Landscape	2.0				L			"Each of your Scavengers in this arena gets +1 health and ""Bounty: Gain 1 build point."""		RES	
Hidden Master (LEGO)	TFA	LEGO030_Hidden_Master	L	Mission		1.0				L			You may complete Hidden Master only if you have a Jedi Master in any arena or your build zone. Draw 2 cards. Then gain 2 Force if you draw a Jedi Master unit card. 		RES	
Kylo Ren (A) (LEGO)	TFA	LEGO041_Kylo_Ren_A	D	Character	First Order Dark Jedi Apprentice	7.0	50.0	7	5.0	L			Fury 4 | Pay 3 Force -> Kylo does 3 damage to one of your opponent's units in the Character arena. This damage can only be prevented by a Jedi. | Pay 4 Force -> Evade 2.		RES	
Maz Kanata (A) (LEGO)	TFA	LEGO047_Maz_Kanata_A	L	Character	Force Sensitive Pirate Queen	4.0	20.0	1	3.0	L			Reserves: Tap -> Search your deck and your discard pile for a Lightsaber Weapon card, show it to your opponent, and put it into your build zone with 2 build counters on it. Shuffle your deck. Play only during your build step.		RES	
Poe Dameron (A) (LEGO)	TFA	LEGO053_Poe_Dameron_A	L	Character	Resistance Officer	6.0	40.0	5	5.0	L			Accuracy 1 | Starfighter Pilot. The Starfighter gets:  - Accuracy 1  - Each of your other Starfighters with a Pilot on it gets Accuracy 1.		RES	
Poe's Starfighter (A) (LEGO)	TFA	LEGO055_Poe_s_Starfighter_A	L	Space	Resistance Starfighter	5.0	60.0	3	3.0	L			Accuracy 1 | Shields 1 | As long as Poe's Starfighter is piloted by Poe Dameron, it gets Accuracy 1 and Lucky 1		RES	
